Description,Index,Scenario,AgentType,Difficulty,TimeToComplete,Strategy,Challenging,GeneralComments,Age,Gender,Occupation,ComputerUsage,DominantHand,EnglishAsFirst,ExpWithRobots,ExpWithRCCars,ExpWithFPS,ExpWithRTS,ExpWithRobotComments,InternalUserID
Pick up the only yellow block on the table.,1417,Configuration_1_v1.png,robot,5,0:00:16,No strategies,I found some to be more difficult than others depending how many blocks were grouped together.,Thanks! This was interesting!,38,female,self employed,>20,Right,1,1,1,5,5,No,902
Pick up the yellow block.,128,Configuration_1_v1.png,robot,5,0:00:14,I didn't have much of a strategy.,"It was fairly challenging, especially when there were a lot of blocks of the same color.",,25,female,Office assistant,>20,Right,1,1,,3,2,I haven't.,24
Pick up the only yellow block on the table.,508,Configuration_1_v1.png,robot,5,0:00:38,"I tried to take the perspective of the robot when giving commands, so what appeared to be on the right from MY perspective would be on the left for the robot's perspective. When giving commands, I used the robot's perspective to try to increase the accuracy of the issued commands.","The most challenging aspect was trying to describe which block the robot should pick up when the indicated block was surrounded by other blocks of the same color. Trying to give accurate descriptions using surrounding colors was tricky, e.g.: ""the blue block directly below a yellow block,"" etc.",,29,male,Financial analyst,>20,Right,1,2,2,3,3,Not applicable,242
Pick up the yellow block.,1310,Configuration_1_v1.png,robot,5,0:00:14,Not really.,Easy,,31,male,Trader,>20,Right,1,2,2,6,3,no,78
pick up the yellow block,1560,Configuration_1_v1.png,robot,5,0:00:11,I went with describing how far away it was.,Somewhat easy.,I love you,28,male,mturker,>20,Left,1,1,1,6,4,no,926
Narrow search to only yellow blocks. Find the only yellow block in the pile. Pick it up.,788,Configuration_1_v1.png,robot,5,0:00:25,I found that right and left directions were extremely helpful and I described the blocks in question in terms of the edges of the table.,I thought that the blocks that were nearer to the middle of the table in every direction was the most difficult to answer.,,29,female,Customer Service Representative,15-20,Right,1,1,2,5,5,,92
pick up the only yellow block on the table,1356,Configuration_1_v1.png,robot,5,0:00:12,Seeing how many other same colored blocks were on the table per trial.,Somewhat challenging. It was harder to instruct on trials where there were more of the same colored blocks.,,25,female,Freelance Web Services,>20,Left,1,1,1,3,4,Not at all,914
Pick up the yellow box to your right.,1491,Configuration_1_v1.png,robot,4,0:00:32,I mainly trued to give specific directional instructions. Specified block color and area of the table from robots point of view,At first it was hard to get the hang of. I would say it was most difficult when the selected block was surrounded by blocks of the same color or when there was another similar block pattern on the table making it harder to specify which area of the table.,,30,female,caregiver,>20,Right,1,1,1,1,1,,904
Pick up the yellow block.,254,Configuration_1_v1.png,robot,5,0:00:16,"Several strategies:
- Pick out ALL the blocks of the same color as the target block
- THEN, identify target block by distance from robot (e.g., closest/farthest blue)
- OR, identify target block by relationship to other blocks of same color (e.g., rightmost blue)","Needing multiple steps to identify target block, hoping that robot understood ""pick out the three blue blocks that are adjacent to one another"" was NOT an action command but instead a preliminary step of defining a subset.",,54,female,teacher,10/15/2016,Right,1,1,1,1,1,"No, only a handful of short videos.",8
Get the yellow block.,246,Configuration_1_v1.png,robot,5,0:02:31,Choosing what location it is and what color it is.,Not much. It got hard only if there is too many blocks of same color.,None.,29,male,Contractor,>20,Right,1,1,1,7,4,No.,4
Pick up the yellow block.,740,Configuration_1_v1.png,robot,5,0:00:12,Tried to view if from my side and the robots side and then see which one would be easier. Then see what was around the selected block to see how I would point out the block.,To select which words would make it easier to find to block.,None,34,female,Tech Support,>20,Right,1,1,1,3,4,No.,228
Pick up the yellow block.,1377,Configuration_1_v1.png,robot,5,0:00:10,"No specific strategy, just trying to explain it as well as I could.",Some parts were a little tricky but it wasn't too challenging.,,29,male,Construction,>20,Right,1,3,2,7,5,I can't recall being close to a robot in person.,910
Pick up the yellow block.,848,Configuration_1_v1.png,robot,5,0:00:10,Describing blocks based on their location on the table on proximity to the robot.,It was fairly challenging. The most challenging aspect was describing blocks that were in the middle of the table.,n/a,29,male,Edicatopm,10/15/2016,Right,1,2,1,4,3,no,220
There is a block in the back of the pile. Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up the block. the block is the last one in the back on the right side,1413,Configuration_1_v1.png,robot,4,0:01:08,I figured it would be better if I could guide the robots hand as it moved over the blocks,It was challenging but I think my strategy will workout good,"Thank you, very interesting study",26,female,Accounting,>20,Right,1,1,1,3,3,"No, I have not",912
Pick up the only yellow block.,1214,Configuration_1_v1.png,robot,5,0:00:18,"I did not follow any particular strategy other than going for the most  obvious, simplest instruction.","Some took a few moments of thought, but most were fairly easy.","The study hung once on me (at #7). Reloading the page didn't work, so I had to start again from the beginning.",27,male,Marketer,>20,Left,1,1,1,4,3,"No, only pictures.",76
pick up the yellow block,906,Configuration_1_v1.png,robot,5,0:00:15,pick the thing that most easily distinguishes the block,"meh, not that hard and pretty boring",yawn,30,female,editor,>20,Right,1,1,1,1,1,yes. at the plant,16
Pick up the only yellow block.,86,Configuration_1_v1.png,robot,5,0:00:30,I started looking at things from the robot's perspective. I figured it would be easier to explain things from it's perspective. I started using the left and right sides of the table (assuming the robot knew these concepts).,The task seemed easy but as it progressed I realized that my answers might end up confusing the robot. The most challenging part was trying to find the right words so that the robot could understand me. My answers could have made sense to another human but maybe a robot won't understand me. It was especially hard when the target color was the same as the surrounding blocks.,"It was a nice HIT, very enjoyable. Hope my input helps!",34,male,homemaker,>20,Right,1,4,3,6,6,"I have not seen any robots in person before, just on TV/internet.",218
Look for a yellow block. Pick up the only yellow block.,1024,Configuration_1_v1.png,robot,5,0:00:20,I found myself navigating the robot with direction in relation to them.,Some of the last few questions were a little difficult. The direction didn't always help as much as previous questions.,I don't have any additional comments.,25,male,Sales Associate,10/15/2016,Right,1,2,3,6,6,I have not seen robots in person before.,40
Pick up the yellow block.,1524,Configuration_1_v1.png,robot,5,0:00:07,After a few rounds I started using the other colored blocks to help me describe the location of the arrow block. Sometimes the specific block was much closer or further than others of the same color and that helped.,The overall task was pretty difficult. I found the most challenging part to be when there were many blocks of the same color that I had to instruct the robot to pick up.,This was hard at times but I had a lot of fun. I feel the study itself was very well designed.,26,female,Pharmacy Technician,>20,Right,1,1,3,5,6,"No, I haven't encountered robots in person yet.",908
Pick up the yellow block.,960,Configuration_1_v1.png,robot,5,0:00:12,"I separated the table into the robot's left and side sides, as well as close to it or close to me.","It was pretty easy as a whole, but there were a few difficult questions.  It was difficult phrasing some of the positions so that it was easy to understand.",,24,male,Accountant,>20,Right,1,1,1,7,7,I have not.,230
Pick up the yellow block.,1323,Configuration_1_v1.png,robot,5,0:00:08,I was just trying to be clear.,It was fairly easy. It was most challenging when there were blocks that were the same color in similar locations.,thanks,40,female,assistant,>20,Right,1,3,3,6,5,"Well, just learning robots. Like Zoomer and things like that.",918
Pick the only yellow cube.,1451,Configuration_1_v1.png,robot,5,0:00:07,"Find color patterns that are nearby to use as references, then direct the robot to the block closest to those.","The most challenging aspect was how to use simple terms and language that made sense. Overall some of it was very easy, but there were certainly challenging aspects to a number of the scenarios. I had to make sure when I gave directions to include the orientation of the robot, which is the reverse of mine.","The instructions were not the most clear, but I hope I did them correct.",25,male,Student,>20,Right,1,2,3,7,7,Not that I can recall.,900
Pick up the rightmost block,272,Configuration_1_v1.png,robot,5,0:00:33,I tried to be as direct as possible.,Most of them were pretty easy. I had no trouble with any of them.,Fun stuff actually.,29,female,Educator,>20,Right,1,2,1,2,1,I've been around a roomba before. That's about all.,58
Pick up the yellow block.,972,Configuration_1_v1.png,robot,5,0:00:15,"Defining the directions as closest to me, closest to the robot, robot's left, and robot's right. Also, singling out by color first to avoid confusion.",It was somewhat easy. The most challenging aspect was telling it how to grab blocks that were very near each other but not near the edge.,None. It was stimulating.,31,male,Cafe Worker,15-20,Right,1,2,2,7,5,Hmm. Certainly not recently.,232
Pick up the yellow block.,1554,Configuration_1_v1.png,robot,5,0:00:14,I had no particular strategy in mind.,The most difficult was trying to distinguish blocks of the same color.,,27,female,X-Ray Tech,15-20,Right,1,1,1,3,1,I went to a Science Fair with remote control robots.,922
the green block closest to you,1125,Configuration_1_v2.png,human,5,0:00:09,i based it off of where I sat,when multiple of hte same colored block were together,no,24,male,engineer,15-20,Right,1,5,3,7,6,"yes, i programmed and made my own boe bot robot",205
From your perspective you should pick the closest green cube to you.,71,Configuration_1_v2.png,human,3,0:00:39,I used the colors and there directions from their perspective.,Trying to identify a cube within the same cluster of cubes that are the same color,,25,male,engineer,10/15/2016,Right,1,2,2,3,3,Yes just lego robots i bought.,211
"pick up your left hand, place it on the table,  slide it to the right and touch the first green block you see.",577,Configuration_1_v2.png,human,2,0:02:44,"If I have followed strategies, I am unaware of the times when I do. ",This task was extremely challenging and hard.,This was an interesting task.,33,female,System Analyst,15-20,Right,1,1,1,7,7,No I have not.,37
"Pick up the first green block that you see when you look directly forward, this block is also the closest green block near you.",363,Configuration_1_v2.png,human,5,0:01:53,"Find a starting position in order to determined the easier way to find the block, i.e. start form the left looking right or vice-versa.",Quite challenging.,,27,male,IT associate,15-20,Right,1,3,5,4,4,,81
Please pick up the green block that located on your right and is positioned closest to you.,57,Configuration_1_v2.png,human,4,0:00:56,"The strategy changed slightly based on where the block was located. In the trials with a certain colored block positioned nearest them, I pointed that out, and attempted to clarify by also mentioning the colored block it was directly adjacent to, in front of or behind. On other trials, I mainly used left-right, and adjacency directionals as well.","Some of these were considerably more challenging than I was anticipating. The most challenging trials were definitely the ones with blocks that were positioned further away from the other individual, not entirely on the right, or left, or center, and with analogous chromatic adjacencies. I also found it somewhat challenging to not over-complicate the instructions while still including enough specificity to ensure they would know which block I was referring to. ","Again, some of these were really hard! Also, I tried to catch myself as I realized I was doing it, but I think I may have alternated using the word ""tan"" and ""orange"" interchangeably. Hopefully I caught them all. No additional remarks -- everything ran smooth. ",39,male,Architectural photographer,>20,Right,1,1,1,6,5,"As far as I can recall, I have never seen a robot in person before. I should probably remedy this posthaste because, truth told, I would really, really love to!",213
Pick up the green block that is the closest to you,285,Configuration_1_v2.png,human,5,0:00:13,No,It was challenging to think from the other person's persepctive,None,26,male,Accounting,>20,Right,1,1,1,6,4,No,55
Pick up the green block that is closest to you. It is also separated from the other a bit.,1277,Configuration_1_v2.png,human,4,0:00:44,"Try to direct using adjacent blocks, especially ones that are few in number, if possible.","Not as challenging as I had expected. Perhaps most challenging was when there was a large group of boxes, the same color as the target.",,40,male,Self Employed,>20,Right,1,1,2,6,6,,71
pick up the closest green block,413,Configuration_1_v2.png,human,5,0:00:12,"Describing where they should begin their search. This is usually closest, furthest, leftmost or rightmost, and going from there.",It wasn't too bad. The challenging part was the ones that were in the center of the table or center of other blocks that are similar color.,,36,male,Warehouse Worker,10/15/2016,Right,1,3,1,7,7,"No, not robots, but I program and I understand how programming languages control mechanical devices to create and move robots and sensors.",85
pick the lowest green block,1197,Configuration_1_v2.png,human,,0:00:14,"No, I have not.",It was not challenging.,,30,male,consultant,>20,Right,1,2,4,3,3,I have owned toy robots.,77
Pick up the right most green block,1103,Configuration_1_v2.png,human,4,0:00:15,"I mostly relied on table placement, to your right or left. ",When there was no clear directional (right or left) instruction to give it was very difficult to come up with something to say.,This was pretty fun.,28,female,Homemaker,>20,Right,1,1,1,5,5,Never,203
pick up right arm and head straight and pick up first block.,169,Configuration_1_v2.png,human,2,0:00:46,no,very hard,awesome study,26,male,student,5/10/2016,Right,1,2,2,3,4,no,21
Pick the green block that is closest to you on your right.,317,Configuration_1_v2.png,human,,0:00:23,Generally I try to stick to something that is very obvious so the robot will not be confused.  Such as having it grab the certain colored brick closest to the Robot.,It was not super challenging in any way.  Sometimes the wording of instructions was tricky without being too wordy.,Really enjoyed it.  Thanks for posting it!,30,male,Chief Technology Officer,>20,Right,1,3,,7,7,I have seen some Pharmaceutical Robots when I worked in a Pharmacy several years ago.  It automatically filled the prescriptions by going to the dispenser and filling the bottle.,89
Pick up the green block nearest to you.,663,Configuration_1_v2.png,human,5,0:00:12,"I tried to use the proximity of a block to the robot, as well as the left and right directions. I also used proximity to other blocks when necessary.",The most challenging part was trying to envision how to give the instructions in an unambiguous manner that the robot would understand easily without making a mistake.,"Thanks, this was fun and interesting!",47,male,Manager,15-20,Right,1,2,2,6,7,"Only briefly on an assembly line at a food processing plant I was touring with some other managers in our company. It was nothing too fancy, mostly sorting fish by weight for human workers to manually process.",69
Pick up the first green block near you.,521,Configuration_1_v2.png,human,5,0:00:23,I try to mention the near by blocks colour. So It will easy to pick up the right one.,Some are easy and are very hard to explain.,Interesting study. Thank you.,35,male,Marketing,>20,Right,0,2,2,5,5,No I didn't seen any robots in my real life.,39
Pick up the green block that is by itself.,27,Configuration_1_v2.png,human,5,0:00:18,I think I used the blocks that were nearby as directional cues.,It was not so bad. The most challenging aspect was when blocks of similar color were close together.,,25,no answer,N/A,>20,Right,1,1,1,1,2,NO,217
grab your the green block closest to you.,383,Configuration_1_v2.png,human,5,0:00:31,no.,moderate.,none.,29,female,landscaping,10/15/2016,Right,1,6,6,6,6,no,87
please pick up the green block closest to me,469,Configuration_1_v2.png,human,5,0:00:17,yes saying closest or below or upper etc,not at all challenged,,35,female,student,>20,Left,1,7,1,7,7,no i have not,241
Pick up the green block directly in front of you.,773,Configuration_1_v2.png,human,5,0:00:25,"No, I just tried to describe the location of the indicated block as precisely as possible.",It was a little difficult to use the right words to correctly describe where the block was.,,42,female,Medical Records Technician,>20,Right,1,1,1,4,3,No,93
pick up the green cube closest to you,219,Configuration_1_v2.png,human,5,0:00:20,Using a straightforward method that would be easy for anyone to understand.,"I thought it was pretty easy. The most challenging part was when there were a lot of different color blocks grouped together, it made it pretty hard to  explain. ",,27,male,Sound Engineer,>20,Right,1,1,1,2,1,"No, I have not.",29
Pickup the green block that is closest to you.,1223,Configuration_1_v2.png,human,5,0:00:15,I try to say a color and then where the block is positioned to the rest of that color.,The most challenging was when the block was near other blocks of the same color and not much of an outlier.,,31,male,,>20,Right,1,6,4,6,6,Building stuff in mechanical engineering courses.,75
Pick up the green block that is alone and closest to you.,867,Configuration_1_v2.png,human,4,0:00:17,I just spoke as if I was speaking to a real person.,"It was not terribly challenging. My biggest problem was remembering which was ""his"" right or left side.",That was fun!,61,female,Administrative support,>20,Right,1,1,1,1,1,I have not seen a robot except for at Walt Disney World many years ago and my experience was just to watch it.,13
Pick up the green block closest to me,701,Configuration_1_v2.png,human,5,0:00:12,No,"Hard, it was hard to remember who I was and whose right and left it was on.",,32,male,Retail,>20,Right,1,2,2,2,2,no,99
Grab the green block that is closest to you.,423,Configuration_1_v2.png,human,5,0:00:15,Using distance to help me,It was very easy. The hard part was when there was a bunch of the same color near each other,none,27,male,pest control,10/15/2016,Right,1,1,1,5,5,No I haven't,3
pick up the green block closest to you on your right.,803,Configuration_1_v2.png,human,3,0:00:20,Relating the distance from him,Pretty challenging. Trying to figure out how to describe it.,,38,male,Dispatcher,>20,Right,1,1,1,7,7,Nope,95
Pick up the green block closest to you.,635,Configuration_1_v2.png,human,5,0:00:10,Looking at other blocks around it.,When there are a lot of blocks with the same color around the target block.,,25,male,programmer,>20,Right,1,3,3,5,5,no,67
Pick up the green block on your right side that is the closest to you.,485,Configuration_1_v2.png,robot,4,0:00:22,"I referenced block colors, and the sides of the robot (left side, right side).",It wasn't too challenging overall. The most challenging was when there wasn't a clear way to delineate the block.,This was interesting. I enjoyed the task. Thank you.,52,female,Data Analyst,>20,Right,1,2,1,4,4,N/A,240
Pick up the green block closest to you on your right hand side.,1295,Configuration_1_v2.png,robot,4,0:00:24,No I just tried to think how I would follow my instructions.,It was harder than I thought it would be.,I had to do it a second time it froze on the first try. I am using Chrome .,60,female,Homemaker,>20,Right,1,1,1,5,3,No I haven't just seen some YouTube videos of them.,70
Pick up the green block closest to you.,763,Configuration_1_v2.png,robot,5,0:00:11,"I tried to use four quadrants close, far, left, and right.","Some were far more challenging than others, others were fairly simple and easy to take care of.",N/A thanks!,27,male,CFO,>20,Right,1,2,4,6,2,"No, I have not.",226
Pick up the green block that is closest in front of you and on your right side.,451,Configuration_1_v2.png,robot,4,0:02:51,I tried to give location and then surrounding objects as well as what side or in center (of the robot) they are located.,"It was challenging to be specific but not confusing and to remember which sides for the robot versus my perspective.  I am sure I mixed up at least one saying the robot's right side, but was supposed to be left.  Was challenging to tell my brain to see it from the other side of the table.",Great task.  Enjoyed the challenge and nice user format.  Interesting. No issues everything ran well.  Thank you.,48,female,Teacher,>20,Right,1,2,4,6,5,"No I haven't, but I would love to see or even experience using one.",244
"Pick up the green block that is closest to you, on your right.",895,Configuration_1_v2.png,robot,5,0:00:21,"I was viewing the blocks from the robot's point of view and using directions like ""left"" or ""right"" from that point of reference.  I also frequently used words like ""furthest from you"" or ""closest to you"", again from the robot's point of reference.",The most challenging aspect was differentiating a block that was surrounded by other blocks of the same color.,Very interesting study and very enjoyable to complete!,23,female,"Student, Pharmacy technician",>20,Right,1,3,1,2,6,"My high school robotics team always won the top awards in the district and state.  They were so good that there was a classroom completely devoted to the robotics team.  I had a few friends who were on this team, so I was able to observe them once in a while as they were working towards the next competition.",14
"I would tell the robot to pick up the green block that is in front of me, standing on its own",47,Configuration_1_v2.png,robot,4,0:00:28,I just looked at the table and figured out what i thought would be the best directions.,I found most of it quite challenging but doable.,Thank you. This was quite fun.,32,female,Server Admin,>20,Right,1,3,3,6,6,,212
Pick up the nearest green block to you,1107,Configuration_1_v2.png,robot,4,0:00:31,"Just counting the blocks that are together, and by their colors. ",It really wasn't too challenging. It was fun.  Just had to think about it sometimes.,,39,female,Accounts Rec/Payable,>20,Left,,1,3,1,3,"No, I have not.",202
Pick up the green block that is nearest to you.,1243,Configuration_1_v2.png,robot,4,0:00:33,"I'm not sure that I developed a specific strategy, other than observing what made a particular block's position unique and unambiguous.","The task was somewhat challenging. The most difficult positions to describe seemed to be the ones that were adjacent to similarly colored blocks, and that were second from one's right, or third...the instructions seemed too wordy in those cases.",,37,female,E-Commerce Manager,>20,Right,1,1,1,3,1,"No, I've not.",74
Please pick up the green block that is closest to you.,625,Configuration_1_v2.png,robot,4,0:00:17,"I try to make sure I mention the location of the block, whether it is on the left or right side of the table.","It was challenging, but I think it got easier as I got used to it.  The most challenging aspect was trying to describe where a block was when it was surrounded by other blocks of the same color.",none.,34,female,Customer Service Rep,15-20,Left,1,2,2,3,5,No,66
Pick up the closest block to you.  It is a green block.,871,Configuration_1_v2.png,robot,3,0:00:18,I used other blocks of the same color as reference points,"I found it quite challenging, and kept hoping that the robot could see color.","This was very interesting.  Thank you, and good luck with your  research!",38,male,sign maker,>20,Right,1,2,2,4,5,"No, I have never seen a 'real' robot in person.",12
Pick up the green block closest to you,657,Configuration_1_v2.png,robot,5,0:00:08,Directions from their perspective,"easy, hardest was when there were a shit load of same colored blocks that werent aligned ",,20,male,it specialist,>20,Right,1,2,2,7,7,no,68
Pick up the green block closest to you.,307,Configuration_1_v2.png,robot,5,0:00:12,"Using close and far, using left and right, using center.","It was of average difficulty. The most challenging aspect was getting past some of the ugly, awkward language required to describe the tasks, without making the instructions incredibly long.",A2WGW5Y3ZFBDEC,45,male,insurance processor,>20,Right,1,2,3,5,7,No.,88
Grab the furthest most top green block.,161,Configuration_1_v2.png,robot,4,0:00:17,"Yes, I used the blocks below that were adjacent to the block selected.",I thought it was a bit challenging especially trying to describe the position.,No comments.,28,male,Retail sales,15-20,Left,1,3,5,5,6,"No, I have not seen any robots in person.  I have seen some robots but it was not the actual working type.",20
Pick up the closest green block.,1179,Configuration_1_v2.png,robot,4,0:00:25,"Mostly tried to give commands in spatial terms (closest, furthest) so that they made the most sense (hopefully.)",Reminding myself to give the commands from the perspective of the robot of not of myself.,N/A,29,male,Retail,15-20,Right,1,2,2,7,5,I have not.,208
