Description,Index,Scenario,NumOfWords,TargetBlockId,ClickedBlockIdList,Accuracy(AvgOn10),TimeToComplete(AvgOn10),InternalUserIDList
Pick the solitary blue block on your right side,294,Configuration_14_v1.png,9,3,"[3, 3, 3, 3, 3, 13, 3, 3, 13, 13]",0.727272727273,6.71717390909,"[524, 619, 235, 4, 330, 108, 437, 394, 477, 154]"
"Of the three blue blocks that are towards your left, pick the one in the middle",292,Configuration_2_v1.png,16,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",1.0,12.7979965,"[619, 103, 230, 432, 325, 590, 149, 472, 385, 276]"
Pick the yellow block that is the closest to me,293,Configuration_5_v2.png,10,10,"[2, 10, 10, 10, 10, 14, 10, 2, 10, 10]",0.7,7.8584892,"[619, 604, 566, 467, 144, 419, 271, 380, 320, 225]"
Pick up the blue block that is next to the two green blocks,290,Configuration_7_v1.png,13,13,"[15, 13, 13, 13, 13, 13, 13, 13, 13, 13]",0.928571428571,6.69173371429,"[151, 474, 592, 521, 1, 278, 105, 434, 327, 232]"
Pick up the orange block that is the closest to you,291,Configuration_10_v2.png,11,6,"[6, 6, 6, 6, 6, 6, 15, 6, 6, 6]",0.909090909091,5.31167754545,"[619, 604, 226, 468, 593, 381, 515, 321, 272, 145]"
Pick up the closest green block.,270,Configuration_3_v1.png,6,6,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,5.1459811,"[435, 619, 388, 475, 152, 247, 2, 328, 522, 279]"
Pick up the furthest yellow block.,271,Configuration_5_v2.png,6,10,"[10, 10, 2, 10, 10, 10, 10, 10, 10, 10]",0.9,6.6331764,"[435, 619, 388, 475, 152, 247, 2, 328, 522, 279]"
Pick up the rightmost block,272,Configuration_1_v1.png,5,1,"[1, 14, 1, 1, 1, 1, 14, 8, 1, 1]",0.75,8.19215108333,"[312, 133, 494, 577, 113, 263, 217, 454, 372, 429]"
Pick up the block furthest from you.,273,Configuration_12_v2.png,7,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,8.73115018182,"[619, 604, 280, 3, 523, 153, 436, 393, 234, 107]"
Pick up the yellow block next to the rightmost blue block.,274,Configuration_4_v1.png,11,6,"[6, 6, 6, 6, 6, 6, 10, 6, 7, 6]",0.8,20.3442181,"[619, 512, 378, 318, 583, 460, 223, 142, 96, 417]"
Pick up the closest blue block which is directly in front of you.,275,Configuration_14_v2.png,13,7,"[7, 7, 9, 6, 9, 9, 6, 9, 7, 13]",0.363636363636,6.72924809091,"[619, 539, 169, 19, 261, 131, 452, 336, 409, 370]"
Pick up the closest green block.,277,Configuration_9_v2.png,6,6,"[6, 6, 11, 6, 6, 6, 6, 6, 6, 6]",0.909090909091,5.674716,"[317, 619, 377, 141, 95, 297, 430, 459, 582, 222]"
Pick up the closest orange block.,278,Configuration_13_v1.png,6,2,"[1, 1, 2, 2, 1, 2, 2, 1, 2, 2]",0.666666666667,5.64638475,"[15, 127, 619, 405, 165, 366, 488, 448, 535, 306]"
Pick up the green block that has a yellow block directly behind it.,279,Configuration_8_v2.png,13,7,"[10, 10, 7, 13, 7, 7, 7, 7, 7, 12]",0.666666666667,12.2198069167,"[282, 109, 619, 395, 604, 525, 438, 331, 236, 478]"
Pick up the orange block closest to you.,642,Configuration_13_v1.png,8,2,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1.0,5.5353259,"[449, 166, 536, 406, 16, 489, 258, 128, 367, 307]"
the green block on my right that is pushed right up against another green block,1132,Configuration_8_v1.png,15,6,"[4, 10, 4, 7, 4, 15, 13, 13, 4, 9]",0.166666666667,21.9049300833,"[619, 229, 324, 102, 471, 518, 275, 589, 384, 431]"
Pick up the orange block on the left corner,1004,Configuration_5_v1.png,9,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",1.0,9.9870055,"[619, 604, 566, 467, 144, 419, 271, 380, 320, 225]"
pick up the only yellow block,108,Configuration_1_v1.png,6,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,4.279053,"[619, 604, 280, 3, 523, 153, 436, 393, 234, 107]"
Pick up the orange block that is to the bottom left of the furthest right blue block,109,Configuration_10_v2.png,17,6,"[6, 14, 6, 12, 2, 6, 15, 14, 6, 14]",0.538461538462,18.7781546154,"[619, 539, 169, 19, 261, 131, 452, 336, 409, 370]"
Pick up ht blue block to the bottom left of the rightmost yellow block.,103,Configuration_11_v2.png,14,4,"[4, 4, 4, 4, 4, 4, 4, 10, 4, 4]",0.928571428571,14.3020562857,"[619, 7, 397, 480, 157, 284, 119, 527, 333, 440]"
Pick up the blue block directly to the left of the orange block at the bottom left side of the table.,100,Configuration_2_v1.png,21,11,"[11, 11, 11, 11, 1, 11, 11, 11, 10, 1]",0.7,14.6622759,"[315, 619, 457, 220, 509, 93, 414, 375, 137, 266]"
Pick up the yellow block directly to the right of the bottom green block,101,Configuration_13_v2.png,14,9,"[9, 13, 9, 9, 9, 9, 9, 9, 9, 9]",0.9,20.9345033,"[619, 604, 280, 3, 523, 153, 436, 393, 234, 107]"
Pick up the orange block that is directly next to the orange block,106,Configuration_5_v1.png,13,11,"[11, 7, 9, 11, 11, 11, 9, 11, 9, 11]",0.636363636364,14.7780386364,"[619, 508, 413, 92, 456, 136, 374, 219, 265, 579]"
pick up the green block underneath the two uppermost blue blocks,107,Configuration_3_v2.png,11,12,"[12, 12, 12, 12, 6, 12, 12, 12, 12, 6]",0.8,15.3828727,"[15, 127, 619, 405, 165, 366, 488, 448, 535, 306]"
Pick up the green block to the upper left of the yellow block that is at  the upper left of the yellow block to the left of the orange block at the bottom right of the table,104,Configuration_6_v1.png,37,12,"[8, 12, 14, 14, 8, 8, 12, 12, 14, 3]",0.3,83.1755302,"[449, 166, 619, 536, 406, 16, 489, 258, 128, 367]"
Pick up the topmost blue block,105,Configuration_12_v2.png,6,1,"[1, 1, 6, 1, 1, 1, 1, 1, 1, 1]",0.916666666667,4.79341183333,"[427, 122, 241, 10, 569, 443, 178, 483, 361, 301]"
Pick up the green block closest to you.,1212,Configuration_3_v1.png,8,6,"[12, 12, 6, 6, 12, 6, 6, 12, 6, 6]",0.6,4.8660097,"[15, 127, 619, 405, 165, 366, 488, 448, 535, 306]"
Find the one group of two orange blocks. Pick up the green block in front of those orange blocks.,1213,Configuration_6_v2.png,19,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,23.642664,"[619, 604, 226, 468, 593, 381, 515, 321, 272, 145]"
Pick up the green block to the right or the blue block in the middle.,99,Configuration_8_v2.png,15,7,"[15, 3, 13, 4, 11, 3, 11, 7, 7, 3]",0.2,28.5133359,"[312, 619, 133, 494, 577, 113, 263, 217, 454, 372]"
Pick up the yellow block that is directly behind the yellow block that is behind the first orange block on your right.,91,Configuration_4_v2.png,22,5,"[5, 5, 5, 5, 5, 5, 5, 5, 15, 5]",0.9,17.9499683,"[619, 604, 280, 3, 523, 153, 436, 393, 234, 107]"
Pick up the single green block that is farthest away from you and to the left.,90,Configuration_9_v1.png,16,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",1.0,18.0995457273,"[435, 619, 388, 475, 152, 247, 2, 328, 522, 279]"
Find the two blue blocks farthest away from you and pick up the one on the right.,93,Configuration_12_v2.png,17,1,"[1, 1, 1, 1, 12, 1, 1, 1, 1, 1]",0.933333333333,7.41955106667,"[315, 619, 457, 220, 509, 93, 414, 375, 137, 266]"
Pick up the green block that is closest to you and on the right.,92,Configuration_3_v1.png,14,6,"[6, 12, 6, 6, 6, 6, 6, 6, 6, 6]",0.909090909091,13.9674455455,"[619, 373, 218, 296, 313, 134, 412, 505, 578, 455]"
Find the closest blue block in front of you. Pick up the second yellow block directly behind the blue block.,95,Configuration_13_v2.png,20,9,"[9, 7, 8, 9, 8, 8, 15, 8, 7, 9]",0.416666666667,15.8210583333,"[619, 229, 324, 102, 471, 518, 275, 589, 384, 431]"
Find the two green blocks that are sitting together and touching each other. Pick up the one on the left.,94,Configuration_8_v1.png,20,6,"[6, 6, 10, 4, 6, 7, 6, 6, 6, 6]",0.7,16.8225568,"[619, 603, 490, 17, 407, 167, 129, 368, 609, 537]"
Pick up the orange block that is farthest away from you and to the left.,96,Configuration_5_v1.png,15,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",1.0,7.58944336364,"[619, 604, 280, 3, 523, 153, 436, 393, 234, 107]"
It is the block that is on the right side of the table. It is in the middle and cluttered with another block.,559,Configuration_2_v2.png,23,10,"[4, 4, 13, 4, 7, 7, 13, 3, 7, 4]",0.0,29.8729601,"[619, 512, 378, 318, 583, 460, 223, 142, 96, 417]"
It is the block on the farthest right. It is the 2nd one from the top.,558,Configuration_7_v1.png,16,13,"[1, 3, 3, 2, 3, 1, 12, 1, 1, 5]",0.166666666667,21.2756836667,"[282, 109, 619, 395, 604, 525, 438, 331, 236, 478]"
It is the block on the top. The block that is closest to me.,555,Configuration_9_v2.png,14,6,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.166666666667,10.2819906667,"[435, 619, 388, 475, 152, 247, 2, 328, 522, 279]"
It is more towards the right side of the table. It is the 4th block from the top on the right side.,554,Configuration_11_v1.png,22,11,"[4, 4, 3, 7, 5, 6, 9, 12, 2, 12]",0.0909090909091,39.9964406364,"[441, 359, 239, 481, 285, 398, 158, 120, 568, 8]"
It is the block directly in the middle of all the blocks.,557,Configuration_8_v2.png,12,7,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,9.0339797,"[229, 324, 102, 471, 518, 275, 589, 384, 431, 148]"
It is the farthest lower right block.,556,Configuration_5_v1.png,7,11,"[3, 4, 10, 3, 4, 3, 4, 3, 3, 1]",0.0909090909091,12.6688401818,"[427, 122, 241, 10, 569, 443, 178, 483, 361, 301]"
The block is on the left side of the table towards the bottom. It is between the 1st and 3rd block from the bottom.,550,Configuration_13_v1.png,24,2,"[11, 8, 11, 14, 11, 2, 2, 3, 8, 11]",0.2,19.3995517,"[365, 534, 14, 126, 305, 447, 245, 487, 164, 404]"
The block is on the bottom right. It is in the middle of the block on the farthest right and the one next to it.,553,Configuration_3_v2.png,25,12,"[5, 2, 7, 5, 3, 6, 12, 5, 4, 5]",0.1,29.76485,"[513, 319, 584, 604, 97, 466, 143, 224, 379, 270]"
The block is on the left side of the table. It is the one closest to the left corner.,552,Configuration_14_v1.png,19,3,"[13, 15, 15, 15, 15, 14, 15, 15, 11, 15]",0.0909090909091,15.8519798182,"[491, 451, 18, 369, 309, 260, 168, 538, 130, 408]"
pick the second blue block from the bottom,1199,Configuration_14_v2.png,8,7,"[7, 7, 7, 10, 7, 6, 7, 7, 13, 7]",0.75,10.0237890833,"[315, 457, 220, 509, 93, 414, 375, 137, 266, 580]"
pick the highest orange block,1198,Configuration_10_v1.png,5,15,"[15, 15, 6, 15, 15, 15, 15, 15, 15, 15]",0.9,9.7327324,"[435, 388, 475, 152, 247, 2, 328, 522, 279, 106]"
pick the green box at the top.,1191,Configuration_3_v2.png,7,12,"[12, 6, 6, 6, 6, 6, 12, 12, 6, 12]",0.4,6.5633136,"[539, 169, 19, 261, 131, 452, 336, 409, 370, 492]"
Pick up the leftmost blue block.,1190,Configuration_7_v1.png,6,13,"[2, 2, 13, 13, 13, 13, 13, 13, 13, 13]",0.818181818182,13.084018,"[229, 324, 102, 471, 518, 275, 589, 384, 431, 148]"
pick the highest blue block,1193,Configuration_12_v2.png,5,1,"[1, 6, 1, 1, 1, 1, 1, 1, 1, 1]",0.923076923077,6.27493353846,"[282, 109, 395, 604, 525, 438, 331, 236, 478, 5]"
pick the green block in the middle of the top cluster of green blocks,1192,Configuration_8_v1.png,14,6,"[7, 6, 6, 7, 9, 6, 10, 7, 9, 7]",0.363636363636,9.42702372727,"[524, 235, 4, 330, 108, 437, 394, 477, 154, 281]"
pick the third yellow block from the bottom,1195,Configuration_4_v2.png,8,5,"[6, 7, 5, 5, 6, 6, 5, 5, 5, 6]",0.5,16.730084,"[312, 133, 494, 577, 113, 263, 217, 454, 372, 429]"
pick the second block from the left,1194,Configuration_2_v1.png,7,11,"[5, 11, 15, 11, 2, 14, 2, 11, 2, 11]",0.5,8.84698283333,"[151, 474, 592, 521, 1, 278, 105, 434, 327, 232]"
pick the lowest green block,1197,Configuration_1_v2.png,5,8,"[8, 3, 3, 5, 3, 5, 8, 8, 5, 8]",0.538461538462,8.71529138462,"[539, 169, 19, 261, 131, 452, 336, 409, 370, 492]"
pick the highest green block,1196,Configuration_9_v1.png,5,11,"[11, 6, 11, 11, 11, 6, 11, 11, 11, 6]",0.727272727273,7.73568181818,"[508, 413, 92, 456, 136, 374, 219, 265, 579, 314]"
Pick up the furthest away green block.,1177,Configuration_3_v2.png,7,12,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",1.0,5.5250495,"[449, 166, 536, 406, 16, 489, 258, 128, 367, 307]"
the blue block farthest back located behind the orange and green blocks,1176,Configuration_12_v1.png,12,8,"[8, 8, 8, 8, 6, 8, 1, 8, 8, 8]",0.833333333333,14.5758519167,"[316, 581, 267, 94, 415, 221, 376, 138, 458, 510]"
the closest green block separated from the rest.,1175,Configuration_9_v2.png,8,6,"[6, 6, 11, 6, 6, 6, 6, 6, 6, 11]",0.8,7.1465305,"[427, 122, 241, 10, 569, 443, 178, 483, 361, 301]"
the isolated orange block on the corner,1174,Configuration_10_v1.png,7,15,"[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",1.0,4.56671476923,"[312, 133, 494, 577, 113, 263, 217, 454, 372, 429]"
there is an orange block followed by a yellow block followed by another yellow one. The second yellow is the one needed.,1173,Configuration_4_v2.png,22,5,"[5, 5, 3, 5, 5, 5, 5, 5, 5, 5]",0.9,20.8610881,"[103, 230, 432, 325, 590, 149, 472, 385, 276, 519]"
the orange block on the back sitting right of the yellow block,1172,Configuration_5_v1.png,12,11,"[5, 5, 5, 5, 11, 11, 6, 6, 5, 9]",0.2,27.3314611,"[365, 534, 14, 126, 305, 447, 245, 487, 164, 404]"
you need to pick up the blue block sitting right behind the green block closest to you,1171,Configuration_14_v2.png,17,7,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,10.7465323636,"[427, 122, 241, 10, 569, 443, 178, 483, 361, 301]"
there is 3 green blocks in a triangle formation the top one closest to you,1170,Configuration_6_v1.png,15,12,"[12, 12, 15, 12, 12, 12, 12, 12, 12, 12]",0.9,13.3692164,"[427, 122, 241, 10, 569, 443, 178, 483, 623, 361]"
Pick up the closest green block.,1179,Configuration_1_v2.png,6,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,5.5067539,"[435, 388, 475, 152, 247, 2, 328, 522, 279, 106]"
"There are two yellow blocks in front of an orange block, but below a blue block. Pick up the yellow block that is closest to the blue block.",511,Configuration_4_v2.png,28,5,"[13, 5, 5, 6, 8, 5, 3, 3, 5, 5]",0.545454545455,30.2758042727,"[147, 422, 470, 517, 588, 101, 350, 246, 274, 383]"
Pick up the first orange block on the right side,1005,Configuration_10_v2.png,10,6,"[14, 15, 6, 15, 15, 2, 15, 6, 6, 2]",0.461538461538,12.9749161538,"[15, 127, 405, 165, 366, 488, 448, 535, 306, 248]"
"Counting green blocks from right to left, pick up the second one. It is also touching an orange block which is touching another orange block.",1285,Configuration_6_v2.png,25,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,27.660987,"[529, 604, 399, 286, 159, 442, 121, 240, 9, 360]"
On your right side there is a blue block sitting next to a yellow. No other blocks are touching them. Pick up this blue block.,1284,Configuration_14_v1.png,25,3,"[3, 3, 3, 3, 3, 3, 13, 13, 3, 3]",0.818181818182,19.7890504545,"[497, 150, 591, 386, 326, 277, 433, 231, 520, 104]"
Pick up the yellow block closest to you that is also touching the left-most blue block.,1286,Configuration_11_v1.png,16,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",1.0,14.2290720833,"[491, 451, 18, 369, 309, 260, 168, 538, 130, 408]"
There are two blue blocks directly in front of me. Pick up the one that is further to your right and directly behind the yellow block.,1281,Configuration_12_v2.png,26,1,"[1, 1, 1, 1, 1, 1, 4, 1, 1, 4]",0.818181818182,18.4221720909,"[491, 451, 18, 369, 309, 260, 168, 538, 130, 408]"
"Directly in front of me is a yellow block which is touching a green block, this green block is also in-between another green and a blue block. Pick up the first green block mentioned.",1283,Configuration_8_v2.png,34,7,"[7, 7, 7, 13, 7, 7, 7, 7, 6, 12]",0.75,26.9673025,"[491, 451, 18, 369, 309, 260, 168, 538, 130, 408]"
Pick up the block in the center,1003,Configuration_6_v2.png,7,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,5.8441252,"[604, 226, 468, 593, 381, 515, 321, 272, 145, 99]"
Pick up the blue block that is touching the green block closest to  you.,1289,Configuration_14_v2.png,14,7,"[7, 7, 7, 7, 7, 13, 7, 7, 7, 7]",0.9,11.6398172,"[146, 227, 100, 587, 273, 516, 469, 421, 348, 382]"
"Pick up the left most blue block, which is also touching a green block.",1288,Configuration_7_v1.png,14,13,"[13, 3, 13, 13, 13, 13, 13, 13, 13, 13]",0.909090909091,6.56984536364,"[403, 571, 364, 304, 125, 244, 465, 179, 13, 486]"
the orange block that is the furthest from you,1579,Configuration_5_v1.png,9,11,"[11, 11, 6, 11, 6, 11, 11, 11, 11, 11]",0.8,5.5113852,"[484, 288, 401, 570, 135, 362, 444, 161, 242, 11]"
the green block that is the furthest from you,1578,Configuration_9_v1.png,9,11,"[11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",1.0,8.89826966667,"[373, 218, 296, 313, 134, 412, 505, 578, 455, 91]"
Pick up the blue block that is closest to you.,689,Configuration_11_v2.png,10,4,"[10, 4, 4, 4, 10, 4, 10, 4, 4, 4]",0.7,6.1372835,"[151, 474, 592, 521, 1, 278, 105, 434, 327, 232]"
Pick up the green block that is closest to you.,688,Configuration_3_v1.png,10,6,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,4.6481196,"[610, 603, 490, 17, 407, 167, 129, 368, 537, 308]"
see the row of yellow blocks on your right? the second one from the top,1573,Configuration_4_v1.png,15,6,"[6, 7, 6, 7, 6, 7, 6, 6, 7, 6]",0.636363636364,12.8431866364,"[529, 604, 399, 286, 159, 442, 121, 240, 9, 360]"
the green block that is the furthest to your left,1572,Configuration_7_v2.png,10,14,"[15, 15, 15, 4, 14, 4, 4, 4, 14, 15]",0.2,7.788194,"[365, 534, 14, 126, 305, 447, 245, 487, 164, 404]"
Pick up the green block that is before the two orange blocks.,687,Configuration_6_v2.png,12,8,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",1.0,10.9422874,"[435, 388, 475, 152, 247, 2, 328, 522, 279, 106]"
The left most orange block.,1570,Configuration_10_v1.png,5,15,"[15, 15, 15, 15, 2, 15, 2, 15, 15, 15]",0.833333333333,10.4586159167,"[147, 422, 470, 517, 588, 101, 350, 246, 274, 383]"
the green block that is the third closest to you,1577,Configuration_6_v1.png,10,12,"[12, 12, 12, 13, 12, 12, 12, 12, 12, 8]",0.8,9.0672561,"[170, 311, 493, 132, 262, 371, 453, 540, 20, 428]"
the middle row of green blocks. the green block that is in the center.,1576,Configuration_8_v1.png,14,6,"[6, 7, 7, 6, 7, 6, 6, 6, 7, 6]",0.636363636364,12.6155122727,"[170, 311, 493, 132, 262, 371, 453, 540, 20, 428]"
the yellow block,1575,Configuration_1_v1.png,3,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,3.67369158333,"[282, 109, 395, 604, 525, 438, 331, 236, 478, 5]"
Pick up the blue on your left side of the table.,682,Configuration_7_v1.png,11,13,"[13, 13, 13, 13, 13, 13, 13, 13, 13, 13]",1.0,11.3358741,"[449, 166, 536, 406, 16, 489, 258, 128, 367, 307]"
Pick up the orange block on the right side that is between the yellow block and two other orange blocks.,458,Configuration_13_v1.png,20,2,"[2, 2, 2, 5, 2, 2, 2, 2, 2, 2]",0.9,15.405798,"[170, 311, 493, 132, 262, 371, 453, 540, 20, 428]"
There are 3 yellow blocks on the left side of the table.  Please pick up the yellow block that is in the middle of the three yellow blocks.,622,Configuration_11_v1.png,28,11,"[1, 11, 11, 11, 11, 11, 11, 1, 11, 11]",0.8,22.2947028,"[7, 397, 480, 157, 284, 119, 527, 333, 440, 238]"
Pickup the middle most green block.,1225,Configuration_8_v2.png,6,7,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",1.0,6.3814693,"[146, 227, 100, 587, 273, 516, 469, 421, 348, 382]"
There are two blue block in the center of the table.  Please pick up the blue block of these two that is closest to you.,627,Configuration_14_v2.png,25,7,"[7, 7, 7, 6, 7, 9, 7, 7, 7, 7]",0.818181818182,9.087307,"[513, 319, 584, 97, 466, 143, 224, 379, 270, 617]"
Pickup the yellow block that is near the middle and nearest to the green blocks.,1221,Configuration_13_v2.png,15,9,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9]",1.0,13.6451165,"[621, 610, 603, 490, 17, 407, 167, 129, 368, 537]"
Please pick up the orange block that is closest to me.,624,Configuration_5_v1.png,11,11,"[5, 11, 11, 11, 11, 6, 11, 11, 11, 11]",0.833333333333,7.14634208333,"[373, 218, 296, 313, 134, 412, 505, 578, 455, 91]"
pick up the yellow block furthest from you,407,Configuration_5_v2.png,8,10,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 2]",0.9,12.1207462,"[529, 399, 286, 159, 442, 121, 240, 9, 617, 360]"
Pick up the furthest orange block on your left,406,Configuration_5_v1.png,9,11,"[11, 5, 6, 11, 7, 11, 11, 11, 11, 11]",0.75,6.02721375,"[237, 6, 576, 396, 332, 479, 156, 118, 439, 283]"
Pick up the yellow block that is to the right and behind the orange block,405,Configuration_4_v2.png,15,5,"[13, 3, 13, 3, 3, 3, 13, 13, 10, 3]",0.0,16.1043164,"[282, 109, 395, 604, 621, 525, 438, 331, 236, 478]"
pick up the orange block closest to me,1372,Configuration_5_v1.png,8,11,"[11, 11, 6, 11, 11, 11, 6, 11, 11, 11]",0.818181818182,6.03941927273,"[427, 122, 241, 10, 569, 443, 178, 483, 361, 301]"
Pick up the green block that's in the middle of the other 4 green ones on your left.,1375,Configuration_6_v1.png,18,12,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",1.0,11.0790790909,"[621, 610, 603, 490, 17, 407, 167, 129, 368, 537]"
Pick up the green block that is farthest to your left.,1374,Configuration_9_v1.png,11,11,"[11, 11, 11, 11, 11, 11, 11, 6, 5, 5]",0.769230769231,7.92229653846,"[497, 150, 621, 591, 386, 326, 277, 433, 231, 520]"
Pick up the yellow block.,1377,Configuration_1_v1.png,5,1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,5.1934324,"[621, 610, 603, 490, 17, 407, 167, 129, 368, 537]"
Pick up the blue block on your far right.,1376,Configuration_14_v1.png,9,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,7.9469091,"[449, 166, 536, 406, 16, 489, 258, 128, 367, 307]"
Pick up the bottom green block on your left.,1378,Configuration_7_v2.png,9,14,"[14, 15, 14, 15, 14, 14, 15, 14, 14, 14]",0.7,8.9186292,"[403, 571, 364, 304, 125, 244, 465, 179, 13, 486]"
Locate the 5 green cubes standing close to each other. Pick up the one in the middle.,1342,Configuration_6_v1.png,17,12,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",1.0,7.497385,"[7, 397, 480, 621, 157, 284, 119, 527, 333, 440]"
pick up the green block closest to you,409,Configuration_9_v2.png,8,6,"[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",1.0,5.77297754545,"[529, 604, 399, 621, 286, 159, 442, 121, 240, 9]"
Grab the yellow block third from your right,408,Configuration_4_v1.png,8,6,"[8, 8, 10, 8, 6, 6, 7, 8, 6, 15]",0.461538461538,10.0157841538,"[539, 169, 19, 261, 621, 131, 452, 336, 409, 370]"
Pick up the blue block located on the right side of the table,1343,Configuration_14_v1.png,13,3,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1.0,7.955644,"[491, 451, 18, 369, 621, 309, 260, 168, 538, 130]"
"Pick up the green block in the middle of a row of three green blocks, right in front of the yellow block that is furthest away from you.",1018,Configuration_8_v1.png,28,6,"[7, 6, 6, 8, 6, 6, 7, 6, 6, 6]",0.785714285714,13.1454055714,"[15, 127, 405, 165, 366, 488, 448, 535, 306, 248]"
reach over all the blocks and grab the yellow block in the back.,379,Configuration_5_v2.png,13,10,"[10, 10, 10, 10, 10, 2, 10, 10, 14, 10]",0.8,12.6717533,"[524, 235, 4, 330, 621, 108, 437, 394, 477, 154]"
Pick up the blue block to your left side.,378,Configuration_7_v1.png,9,13,"[13, 13, 13, 13, 13, 2, 2, 13, 13, 13]",0.8,6.0391666,"[146, 227, 100, 621, 587, 273, 516, 469, 421, 348]"
pick up the lower middle blue block just above the green block,647,Configuration_14_v2.png,12,7,"[7, 7, 7, 6, 7, 7, 7, 7, 7, 7]",0.909090909091,9.92267990909,"[282, 109, 395, 608, 525, 438, 331, 236, 478, 5]"
